Order_ID,Date,Region,Category,Product,Customer,Price,Quantity,Sales,Target
1001,2024-10-16,South,Home Appliances,Smart TV,Customer_95,33278,3,99834,92193.46
1002,2023-04-15,North,Fashion,Jeans,Customer_12,1712,5,8560,8359.5
1003,2023-08-12,South,Electronics,Smartwatch,Customer_92,36118,5,180590,154939.14
1004,2024-10-27,East,Fashion,Jeans,Customer_1,4436,2,8872,8736.81
1005,2023-06-13,East,Electronics,Camera,Customer_14,119194,3,357582,320623.7
1006,2023-04-05,Central,Home Appliances,Microwave,Customer_34,11169,3,33507,37000.05
1007,2023-02-14,West,Electronics,Printer,Customer_11,40142,1,40142,45839.54
1008,2024-07-19,East,Furniture,Office Chair,Customer_74,46198,5,230990,257700.65
1009,2023-07-16,North,Electronics,Tablet,Customer_30,18003,2,36006,38955.63
1010,2023-04-14,East,Home Appliances,Microwave,Customer_21,17108,4,68432,71217.55
1011,2024-01-15,North,Home Appliances,Air Conditioner,Customer_78,57460,3,172380,182816.94
1012,2024-10-12,West,Home Appliances,Washing Machine,Customer_35,55005,2,110010,98901.27
1013,2024-10-17,North,Fashion,Jeans,Customer_30,2799,3,8397,9260.68
1014,2023-02-02,Central,Furniture,Dining Table,Customer_92,67581,3,202743,176357.33
1015,2023-11-19,West,Electronics,Headphones,Customer_19,22477,4,89908,87092.94
1016,2023-09-29,Central,Home Appliances,Refrigerator,Customer_55,57325,5,286625,289976.56
1017,2024-08-20,South,Home Appliances,Microwave,Customer_66,19861,2,39722,45648.43
1018,2024-05-20,South,Electronics,Tablet,Customer_88,18087,1,18087,16203.28
1019,2024-03-08,West,Electronics,Monitor,Customer_68,12163,4,48652,46924.16
1020,2023-09-15,Central,Fashion,Jeans,Customer_97,1094,1,1094,1153.64
1021,2023-10-01,West,Furniture,Dining Table,Customer_1,29621,3,88863,87123.91
1022,2023-09-27,East,Fashion,T-Shirt,Customer_82,1963,5,9815,11029.98
1023,2024-06-03,South,Electronics,Monitor,Customer_70,21035,2,42070,40478.67
1024,2024-06-27,North,Electronics,Laptop,Customer_47,118504,3,355512,354296.76
1025,2023-11-11,North,Electronics,Smartwatch,Customer_11,6796,2,13592,15133.37
1026,2024-05-12,West,Electronics,Tablet,Customer_71,49911,2,99822,88693.59
1027,2023-06-19,South,Furniture,Sofa,Customer_70,89163,5,445815,435535.12
1028,2024-12-07,East,Electronics,Headphones,Customer_57,24361,3,73083,70868.42
1029,2024-06-13,East,Electronics,Printer,Customer_3,12930,2,25860,23724.2
1030,2024-08-25,North,Fashion,Jeans,Customer_91,2885,5,14425,13214.24
1031,2024-10-08,East,Mobiles,Smartphone,Customer_10,45007,1,45007,50481.02
1032,2024-06-10,South,Electronics,Smartwatch,Customer_93,21250,4,85000,77713.04
1033,2024-08-07,West,Fashion,Backpack,Customer_25,8744,2,17488,18981.23
1034,2023-04-07,West,Home Appliances,Smart TV,Customer_60,116374,4,465496,445148.83
1035,2023-02-25,North,Home Appliances,Smart TV,Customer_32,37944,4,151776,162167.2
1036,2023-07-16,South,Electronics,Headphones,Customer_36,18573,4,74292,66272.53
1037,2024-04-18,Central,Electronics,Smartwatch,Customer_13,7940,4,31760,34694.84
1038,2023-02-21,South,Fashion,Jeans,Customer_22,7848,1,7848,8952.2
1039,2024-02-21,North,Fashion,Shoes,Customer_22,8886,2,17772,19716.17
1040,2024-01-24,West,Electronics,Laptop,Customer_37,91173,3,273519,308517.24
1041,2024-03-09,East,Fashion,Jeans,Customer_28,6422,4,25688,23027.73
1042,2023-03-01,North,Fashion,Backpack,Customer_7,9883,1,9883,10618.22
1043,2024-08-21,Central,Fashion,Shoes,Customer_11,9238,5,46190,41443.05
1044,2023-07-10,South,Electronics,Tablet,Customer_52,53996,1,53996,56834.23
1045,2023-05-03,Central,Fashion,Backpack,Customer_11,5033,5,25165,25878.57
1046,2024-03-05,South,Fashion,Backpack,Customer_86,9565,3,28695,32437.17
1047,2023-11-18,East,Electronics,Smartwatch,Customer_59,20407,4,81628,72588.8
1048,2023-11-20,Central,Electronics,Tablet,Customer_13,15610,4,62440,64709.56
1049,2023-03-17,East,Fashion,Jeans,Customer_9,2746,5,13730,12762.86
1050,2023-09-08,Central,Home Appliances,Air Conditioner,Customer_91,67353,2,134706,132207.93
1051,2023-11-06,Central,Electronics,Monitor,Customer_39,50858,5,254290,216743.3
1052,2024-11-10,North,Home Appliances,Smart TV,Customer_96,145097,2,290194,269688.83
1053,2024-07-20,East,Home Appliances,Refrigerator,Customer_27,60697,3,182091,187817.57
1054,2024-12-04,North,Furniture,Sofa,Customer_12,86244,4,344976,319218.84
1055,2024-10-11,South,Electronics,Camera,Customer_82,102530,1,102530,87259.56
1056,2023-09-26,West,Home Appliances,Washing Machine,Customer_72,68577,4,274308,278560.91
1057,2023-01-10,East,Home Appliances,Smart TV,Customer_75,39862,2,79724,80814.39
1058,2024-07-19,East,Home Appliances,Refrigerator,Customer_6,81333,2,162666,140307.34
1059,2024-01-02,East,Electronics,Headphones,Customer_100,23349,2,46698,49036.64
1060,2024-07-27,South,Electronics,Camera,Customer_53,70515,2,141030,156456.1
1061,2023-01-26,West,Home Appliances,Washing Machine,Customer_86,68271,3,204813,222163.93
1062,2023-09-12,North,Furniture,Sofa,Customer_61,40866,1,40866,39425.99
1063,2023-08-16,South,Electronics,Headphones,Customer_29,27757,4,111028,106020.36
1064,2023-01-25,North,Electronics,Headphones,Customer_99,14056,3,42168,39367.24
1065,2023-10-13,Central,Home Appliances,Air Conditioner,Customer_43,114080,5,570400,553232.97
1066,2023-01-29,East,Home Appliances,Smart TV,Customer_5,144955,3,434865,392931.12
1067,2023-04-22,East,Electronics,Monitor,Customer_56,36479,3,109437,116940.39
1068,2024-09-12,South,Fashion,T-Shirt,Customer_33,1447,4,5788,6481.7
1069,2023-02-15,Central,Electronics,Camera,Customer_88,30443,5,152215,171648.68
1070,2024-11-17,East,Electronics,Headphones,Customer_80,12934,4,51736,45061.65
1071,2023-11-18,West,Home Appliances,Smart TV,Customer_42,124339,3,373017,373814.04
1072,2024-02-17,West,Furniture,Office Chair,Customer_87,41333,2,82666,75023.7
1073,2023-06-28,North,Electronics,Monitor,Customer_39,45296,3,135888,132059.02
1074,2023-10-21,East,Electronics,Headphones,Customer_60,15086,5,75430,77843.64
1075,2024-03-28,South,Electronics,Printer,Customer_85,49277,2,98554,98884.37
1076,2023-03-28,South,Furniture,Office Chair,Customer_87,38780,5,193900,184312.9
1077,2023-11-14,South,Electronics,Smartwatch,Customer_61,16050,2,32100,27520.22
1078,2024-09-17,Central,Electronics,Tablet,Customer_25,44846,4,179384,200164.03
1079,2024-12-14,North,Home Appliances,Microwave,Customer_97,24199,4,96796,89361.62
1080,2023-04-20,Central,Electronics,Camera,Customer_60,87367,2,174734,190675.5
1081,2023-02-21,West,Fashion,Jeans,Customer_86,3041,1,3041,3001.28
1082,2024-06-27,West,Fashion,Jeans,Customer_79,5877,3,17631,20011.39
1083,2024-05-31,West,Electronics,Camera,Customer_58,173621,4,694484,777240.4
1084,2023-09-23,South,Electronics,Smartwatch,Customer_36,21173,5,105865,105375.81
1085,2024-03-26,East,Electronics,Tablet,Customer_70,33725,2,67450,62830.66
1086,2023-03-24,South,Home Appliances,Refrigerator,Customer_91,44769,2,89538,86396.16
1087,2023-08-08,West,Electronics,Tablet,Customer_54,42188,4,168752,160190.27
1088,2023-03-05,Central,Electronics,Headphones,Customer_90,28292,4,113168,109415.69
1089,2023-01-21,East,Fashion,Backpack,Customer_39,7232,4,28928,24639.97
1090,2024-02-04,South,Electronics,Camera,Customer_63,171091,5,855455,932412.12
1091,2023-08-13,East,Furniture,Sofa,Customer_86,77125,4,308500,264911.25
1092,2024-11-26,South,Home Appliances,Microwave,Customer_80,31729,2,63458,69940.34
1093,2024-06-30,North,Electronics,Laptop,Customer_11,91645,5,458225,467076.8
